"Name","Target","first_year","last_year"
Henry Hoyte Winwood,ESL,1869,1871
Henry Drummond Wolff,ESL,1862,1869
James Wood,ESL,1857,1857
Samuel Wood,ESL,1860,1871
Robert Carr Woods,ESL,1863,1871
Joseph Hardman Worrall,ESL,1848,1848
Ferdinand Von Wrangell,ESL,1853,1870
Francis Beresford Wright,ESL,1870,1871
Thomas Wright,ESL,1853,1871
James Wyld,ESL,1844,1854
Ashton Yates,ESL,1860,1862
W  Holt Yates,ESL,1844,1846
James Yearsley,ESL,1845,1845
Arthur de Zeltner,ESL,1865,1871
Arthur William A Beckett,ASL,1864,1867
Andrew Mercer Adam,ASL,1865,1867
H R Adam,ASL,1870,1871
Henry John Adams,ASL,1864,1869
William Adlam,ASL,1863,1866
Louis Agassiz,ASL,1863,1871
Anastasius Agathides,ASL,1867,1868
Joseph Agnew,ASL,1867,1870
William Baird Airston,ASL,1863,1867
Thomas Aitken,ASL,1863,1869
Frederick W Aley,ASL,1864,1867
J  McGrigor Allan,ASL,1866,1869
S  Stafford Allen,ASL,1863,1870
George Allin,ASL,1867,1870
Charles Hamond Alpe,ASL,1866,1869
Crewe Alston,ASL,1866,1869
George Amner,ASL,1868,1868
Edward C Anderson,ASL,1865,1866
John Anderson,ASL,1865,1867
Joseph Anderson,ASL,1865,1871
William Arbuthnot,ASL,1868,1871
Richard Edward Arden,ASL,1864,1867
Alexander Aria,ASL,1866,1866
William Armitage,ASL,1864,1871
T  B Armitstead,ASL,1863,1865
Edward Arnold,ASL,1868,1871
Richard Arnold,ASL,1866,1871
William Arthur,ASL,1865,1870
Rodolph Arundell,ASL,1863,1869
Isidore Ascher,ASL,1869,1870
Charles Frederick Ash,ASL,1864,1871
James Ashbury,ASL,1864,1868
John Ashbury,ASL,1863,1867
William Aspull,ASL,1865,1867
John Atcherley,ASL,1867,1867
Charles Atkins,ASL,1868,1871
George Atkinson,ASL,1869,1871
Alfred Aubert,ASL,1865,1867
Charles Cardale Babington,ASL,1864,1871
William Babington,ASL,1864,1869
Carl Ernst von Baer,ASL,1863,1871
Charles Henry Bagnall,ASL,1867,1869
Charles Stuart Bailey,ASL,1865,1869
John Bailey (2),ASL,1863,1863
James Bain,ASL,1865,1871
Benson Baker,ASL,1864,1866
J P Baker,ASL,1863,1869
Henry Barber,ASL,1865,1866
Robert Baring,ASL,1865,1866
Henry Walter Barlow,ASL,1865,1867
Christopher J Barnard,ASL,1866,1869
Henry Thorowgood Barnes,ASL,1865,1868
Joseph Henry Barr,ASL,1863,1869
William Roby Barr,ASL,1863,1871
Thomas Squire Barrett,ASL,1865,1871
George William Barrington,ASL,1865,1871
C M Barter,ASL,1867,1868
William Edward Bartlett,ASL,1864,1871
Alfred Barton,ASL,1864,1867
Ernest Bates,ASL,1866,1869
William Battye,ASL,1867,1871
Edwin Henry Baverstock,ASL,1866,1867
James Bainbridge Baxter,ASL,1865,1871
Samuel Beal,ASL,1864,1869
John S Beale,ASL,1863,1867
Amos Beardsley,ASL,1863,1867
Hugh J C Beavan,ASL,1863,1866
R C Beavan,ASL,1865,1867
Alfred Becquet,ASL,1865,1871
Hermann Beigel,ASL,1865,1871
C W  Bowdler Bell,ASL,1867,1869
Edward Bellamy,ASL,1865,1871
Henry Walter Bellew,ASL,1870,1871
William Painter Belliss,ASL,1865,1867
D Bellock,ASL,1867,1867
Adolph Bendir,ASL,1867,1871
Thomas Bendyshe,ASL,1863,1871
Charles Bennett,ASL,1867,1871
John Bennett,ASL,1865,1869
Thomas John Wesley Bennett,ASL,1866,1871
W F G Benson,ASL,1863,1869
William Ralph Benson,ASL,1868,1869
George Bertram,ASL,1864,1871
Camille Bertrand,ASL,1863,1863
x Best,ASL,1864,1869
John Henry Biddles,ASL,1868,1869
John Bilderbeck,ASL,1865,1871
Theodor Bilharz,ASL,1864,1871
Henry Corles Bingham,ASL,1864,1868
James Bischoff,ASL,1865,1871
Andrew Black,ASL,1870,1871
Alan Cornwall Blackstone,ASL,1863,1864
T A Blakely,ASL,1863,1868
Henry Jules Blanc,ASL,1865,1871
Sydney L Blanchard,ASL,1865,1867
Albert Taylor Bledsoe,ASL,1863,1869
David Blellock,ASL,1866,1868
John Hillier Blount,ASL,1864,1866
Frederick Edmund Blyth,ASL,1865,1868
Henry S Boase,ASL,1863,1866
Anatoly Petrovich Bogdanoff,ASL,1867,1871
Edward B Bogg,ASL,1863,1869
Charles W Bollaert,ASL,1866,1871
William Bollaert,ASL,1863,1870
Charles Radcliffe Bond,ASL,1867,1869
Walter M Bond,ASL,1863,1865
W C Bonnerjee,ASL,1866,1869
T  George Bonney,ASL,1863,1869
Evert Julius Bonsdorff,ASL,1868,1871
James Bonsor,ASL,1869,1871
James Bonwick,ASL,1869,1871
Charles Booth,ASL,1865,1868
W W Boreham,ASL,1863,1869
Cunningham Borthwick,ASL,1865,1871
Joseph Bosworth,ASL,1864,1867
x Boucher de Crevecoeur de Perthes,ASL,1863,1868
x Boudin,ASL,1863,1867
George Boulton,ASL,1863,1869
Brasseur de Bourbourg,ASL,1866,1871
Sydney Edward Bouverie Bouverie-Pusey,ASL,1863,1871
Thomas William Bowman,ASL,1866,1869
William Henry Wentworth Bowyer,ASL,1866,1869
William Binnington Boyce,ASL,1865,1866
Jacob Boys,ASL,1863,1871
Edward William Brabrook,ASL,1864,1871
Frederick Braby,ASL,1865,1871
Antonio Brady,ASL,1864,1871
P A Brady,ASL,1867,1871
George M Braggiotti,ASL,1863,1867
Charles Brainsford,ASL,1863,1866
Thomas Brankstone,ASL,1867,1869
Frank William Breach,ASL,1869,1869
A C Brebner,ASL,1867,1871
James Brebner,ASL,1863,1871
Charles Brett,ASL,1865,1871
J S Brickwood,ASL,1864,1866
John Brinton,ASL,1864,1865
Bernard Edward Brodhurst,ASL,1863,1865
David Brodie,ASL,1866,1869
P B Brodie,ASL,1863,1865
Frederick Brome,ASL,1864,1870
James Brooke,ASL,1864,1868
Henry (2) Brookes,ASL,1864,1866
William Brookes,ASL,1865,1867
Charles Cornish Brown,ASL,1870,1871
Edward Brown,ASL,1864,1865
Edwin Brown,ASL,1865,1865
Edwin Ormond Brown,ASL,1864,1868
George W  (1) Brown,ASL,1864,1871
James Roberts Brown,ASL,1864,1871
John Allen Brown,ASL,1865,1871
John Harcourt Brown,ASL,1865,1866
x Brown-Sequard,ASL,1863,1863
Thomas Henry Browne,ASL,1867,1871
Robert Bruce,ASL,1867,1870
Ernst Wilhelm Ritter von Brucke,ASL,1863,1871
George Bryant,ASL,1867,1871
Ludwig Buchner,ASL,1864,1871
James Buckman,ASL,1863,1871
William Bull,ASL,1867,1871
Henry Christopher Bunkell,ASL,1863,1869
Henry Burden,ASL,1865,1866
Daniel Earl Burdett,ASL,1870,1870
August Friedrich Marschall von Burgholzhausen,ASL,1864,1871
John Smith Burke,ASL,1864,1868
Luke Burke,ASL,1863,1864
Hermann Burmeister,ASL,1864,1871
Samuel Burton,ASL,1864,1867
Johann Karl Eduard Buschmann,ASL,1863,1871
William John Busteed,ASL,1866,1871
Henry Butler,ASL,1864,1871
James Butler,ASL,1867,1871
Charles Buxton,ASL,1864,1866
Isaac Byerley,ASL,1864,1870
George Byham,ASL,1863,1865
John O'Connell Byrne,ASL,1866,1867
Benjamin Bond Cabbell,ASL,1864,1871
Henry Callaway,ASL,1864,1871
Thomas Callaway,ASL,1864,1869
John Calman,ASL,1870,1871
Luigi Calori,ASL,1871,1871
Frank Calvert,ASL,1867,1867
George Calvert,ASL,1866,1867
Charles Duncan Cameron,ASL,1863,1869
Francis Campbell,ASL,1866,1871
George (1) Campbell,ASL,1869,1870
Henry Campbell,ASL,1864,1869
James Campbell,ASL,1864,1871
Montgomery Campbell,ASL,1863,1867
Robert Campbell,ASL,1865,1866
T A Campbell,ASL,1868,1871
Francis Campin,ASL,1866,1867
Thomas Cannon,ASL,1864,1867
Jean-Francois Caplin,ASL,1864,1869
Charles Capper,ASL,1864,1866
Charles Napoleon de Cardi,ASL,1868,1871
William D Carey,ASL,1865,1871
John Burford Carlill,ASL,1867,1871
Robert Carrington,ASL,1867,1867
Samuel Cartwright,ASL,1863,1871
Facundo Carulla,ASL,1864,1867
Carl Gustav Carus,ASL,1863,1869
John Cassell,ASL,1864,1865
Fran̤ois Louis Nompar de Caumont La Force Castelnau,ASL,1863,1871
Henry James Castle,ASL,1866,1869
Daniel de Castro,ASL,1868,1869
George Catlin,ASL,1866,1871
John Cavafy,ASL,1865,1871
"Antonio de La, jun Cerda",ASL,1865,1871
John Henry Challis,ASL,1865,1871
William Chamberlin,ASL,1863,1871
Charles Harcourt Chambers,ASL,1863,1871
William Chambers,ASL,1864,1871
James Champley,ASL,1866,1871
Frank Chance,ASL,1864,1871
David Charles,ASL,1865,1869
Edward Charlesworth,ASL,1866,1871
Henry Charlton,ASL,1864,1871
Samuel Cheetham,ASL,1866,1869
Hendrick Agnis Chignell,ASL,1863,1864
Robert Caesar Childers,ASL,1865,1870
Samuel Chinnery,ASL,1865,1871
William Nathan Chipperfield,ASL,1865,1871
P H Chittenden,ASL,1867,1869
Henry Clare,ASL,1864,1865
x Clarendon,ASL,1864,1870
Henry Clark,ASL,1863,1864
Henry Wilberforce Clarke,ASL,1866,1869
Hyde Clarke,ASL,1865,1867
William Henry Claus,ASL,1865,1868
T H  Jun Clay,ASL,1868,1871
John (1) Cleghorn,ASL,1869,1871
John (2) Cleghorn,ASL,1868,1869
John Cleland,ASL,1863,1864
William James Clement,ASL,1863,1870
H Clerk,ASL,1864,1871
Maurice Philip Clifford,ASL,1865,1867
F W Coates,ASL,1867,1869
Henry Coates,ASL,1867,1867
Frederick Cock,ASL,1867,1868
John jun Cock,ASL,1864,1870
W  Spencer Cockings,ASL,1863,1866
James Coke,ASL,1867,1867
John Colam,ASL,1870,1871
W P Colchester,ASL,1868,1870
Henry Cole,ASL,1864,1871
Richard Beverley Cole,ASL,1864,1871
Vicat Cole,ASL,1865,1871
Edmund Walter Coleman,ASL,1868,1870
John Payne Collier,ASL,1864,1868
Thomas Collings,ASL,1865,1866
John Frederick Collingwood,ASL,1863,1871
S  Edwin Collingwood,ASL,1863,1869
John (1) Collinson,ASL,1866,1871
John Congreve,ASL,1867,1867
Moncure Daniel Conway,ASL,1869,1871
Samuel John Cooke,ASL,1869,1871
William Fothergill Cooke,ASL,1864,1871
William Gifford Cookesley,ASL,1865,1866
Daniel Cooper,ASL,1863,1871
Frederick Cooper,ASL,1866,1871
Holmes Coote,ASL,1865,1869
H Copham,ASL,1863,1865
Thomas Copings,ASL,1863,1864
William C Copperthwaite,ASL,1867,1871
William Cory,ASL,1864,1868
Frederick William Cosens,ASL,1864,1871
Handel Cossham,ASL,1864,1865
F L Cotton,ASL,1865,1870
Samuel Courtauld,ASL,1864,1871
F G Courthope,ASL,1867,1870
J  Jermyn Cowell,ASL,1864,1866
Joseph jun Cowen,ASL,1865,1868
Henry Augustus Cowper,ASL,1866,1871
Irwin Edward Bainbridge Cox,ASL,1866,1866
J W  Conrad Cox,ASL,1864,1869
W T Cox,ASL,1864,1866
James Coxe,ASL,1867,1868
Arthur Edmund Crafter,ASL,1865,1867
Henry Valentine Crassweller,ASL,1864,1866
Thomas William Craster,ASL,1867,1869
Tom junr Craston,ASL,1869,1871
Robert Crawford,ASL,1868,1869
Frederick A B Crawfurd,ASL,1866,1866
John Crawfurd,ASL,1863,1868
George Critchett,ASL,1864,1869
J M Crolly,ASL,1863,1867
A G Cross,ASL,1863,1871
Henry Crowley,ASL,1864,1871
George Rayner Croxford,ASL,1863,1866
Moore A Cuffe,ASL,1870,1871
Edward Barrett Hodges Curteis,ASL,1867,1871
John Cuthbert,ASL,1867,1869
John Richmond Cuthbert,ASL,1863,1871
William Barrington D'Almeida,ASL,1867,1871
Jean Baptiste Julien D'Omalius d'Halloy,ASL,1863,1871
S J Da Costa,ASL,1866,1866
x Daa,ASL,1866,1871
G P Dall,ASL,1867,1867
Eugene Dally,ASL,1864,1871
Frederick Whittock Darby,ASL,1866,1867
Camille Dareste,ASL,1863,1871
George Russell Dartnell,ASL,1867,1871
Charles Darwin,ASL,1863,1871
Arthur Dashwood,ASL,1868,1871
Samuel Davenport,ASL,1866,1869
John George Davey,ASL,1863,1869
John Davidson,ASL,1867,1871
I Davie,ASL,1864,1864
F  Drummond Davies,ASL,1864,1867
Jesse Conway Davies,ASL,1867,1871
William Davies,ASL,1869,1871
Edmund Francis Davis,ASL,1866,1869
Frederick E Davis,ASL,1866,1866
George Dawson,ASL,1863,1871
Walter F Dawson,ASL,1866,1867
Samuel Phillips Day,ASL,1865,1865
John junr De Horne,ASL,1863,1866
Octave Delepierre,ASL,1864,1871
Walter Cooper Dendy,ASL,1867,1871
George Denman,ASL,1866,1866
x Derby (formerly Stanley),ASL,1864,1871
Jules Desnoyers,ASL,1863,1871
Charles William Devis,ASL,1865,1868
George Dibley,ASL,1864,1871
Henry Dickman,ASL,1863,1869
x Diezmann,ASL,1868,1868
John Dingle,ASL,1863,1871
Henry Distin,ASL,1868,1868
Thomas J Dobson,ASL,1864,1869
William Donald,ASL,1866,1867
John Donaldson,ASL,1863,1865
x Donnell,ASL,1865,1865
Cornelius Donovan,ASL,1868,1869
Bernard Dorn,ASL,1863,1871
James Dowie,ASL,1863,1868
John Langdon H Down,ASL,1865,1871
Alexander Downing,ASL,1868,1871
Arthur Edward Downing,ASL,1867,1869
Washington Downing,ASL,1867,1867
James T J Doyle,ASL,1865,1868
D I Drakeford,ASL,1866,1871
James F Draper,ASL,1865,1871
Robert A Drew,ASL,1865,1868
H Driver,ASL,1864,1868
John Drummond,ASL,1864,1871
Paul Belloni Du Chaillu,ASL,1863,1867
C A Du Val,ASL,1864,1867
Gustaf Von Duben,ASL,1867,1871
Frederick Duckworth,ASL,1866,1869
Henry Duckworth,ASL,1865,1866
R E Dudgeon,ASL,1865,1867
Reginald R Dudley,ASL,1867,1869
J R Duggan,ASL,1863,1867
W N Duggan,ASL,1866,1869
Emile Duhousset,ASL,1864,1871
Conrad C Dumas,ASL,1865,1867
x Dumon,ASL,1866,1871
Alexander Duncan,ASL,1868,1871
Francis Duncan,ASL,1867,1871
Peter Martin Duncan,ASL,1864,1869
Alexander Milne Dunlop,ASL,1866,1867
R H W Dunlop,ASL,1867,1869
Robert Dyce,ASL,1867,1869
Robert Eadie,ASL,1867,1869
William Eassie,ASL,1864,1871
Alexander Ecker,ASL,1867,1871
Conrad Eckhard,ASL,1863,1871
Casper W Eddy,ASL,1867,1868
Thomas Edmonston,ASL,1866,1869
J  Passmore Edwards,ASL,1869,1870
William Edwards-Schneegans,ASL,1868,1868
Charles William Eeles,ASL,1865,1869
x Eliot,ASL,1867,1867
John Ellerton,ASL,1865,1869
C H  Fairfax Ellis,ASL,1867,1871
Jonathan W Elmes,ASL,1865,1867
Joel Emanuel,ASL,1865,1866
Jacob Epstein,ASL,1866,1870
Victor Erlanger,ASL,1868,1871
Adolf Ernst,ASL,1865,1871
x Euclide,ASL,1869,1871
Edward Bickerton Evans,ASL,1864,1871
John Evans,ASL,1863,1871
Richard Tonson Evanson,ASL,1867,1870
William Ewart,ASL,1864,1865
Arthur B Ewen,ASL,1867,1869
Edward John Eyre,ASL,1864,1871
William Fairbairn,ASL,1867,1871
R W Fairbank,ASL,1866,1868
Edmund Farmer,ASL,1864,1866
x Farquharson,ASL,1863,1871
J G Faught,ASL,1865,1866
Frederick Fearon,ASL,1864,1871
Alexis Fedschenko,ASL,1865,1871
George Edgeworth Fenwick,ASL,1863,1871
William Ferguson,ASL,1863,1866
John Fergusson,ASL,1867,1867
Leopold Ferny,ASL,1866,1871
Alexander Fiddes,ASL,1866,1870
Edwin Foxton Firby,ASL,1864,1871
Frederick Firebrace,ASL,1864,1871
James (1) Fischer,ASL,1866,1869
Robert Fischer,ASL,1866,1871
Edward Gardiner Fishbourne,ASL,1865,1866
F H Fitzwilliam,ASL,1867,1868
George Fleming,ASL,1863,1871
Alphonse de Fleuriot de Langle,ASL,1868,1871
Walter Flight,ASL,1863,1867
John Folhurst,ASL,1867,1867
Duncan W Forbes,ASL,1867,1869
W Forester,ASL,1865,1871
Joseph James Forrester,ASL,1863,1869
Balthazar Walter Foster,ASL,1864,1867
M Foster,ASL,1863,1865
William Henry Francklyne,ASL,1869,1871
Alexander Adolphus Fraser,ASL,1863,1867
Alexander Colvin Fraser,ASL,1866,1869
Henry Stanhope Freeman,ASL,1864,1865
x Freme,ASL,1864,1867
Sydney French,ASL,1868,1868
H  Albert Freuler,ASL,1863,1867
Anton Fritsch,ASL,1863,1871
Danby Palmer Fry,ASL,1863,1864
Stephen D Fuller,ASL,1863,1871
Michael Cudmore Furnell,ASL,1865,1871
Paolo Gaddi,ASL,1868,1871
Richard M Gage,ASL,1865,1869
Antonio Garbiglietti,ASL,1868,1871
Felix Garden,ASL,1868,1869
John Gardiner,ASL,1866,1868
Charles Henry Gardner,ASL,1864,1871
William H Garrett,ASL,1863,1866
Charles Henry Gatty,ASL,1863,1864
J Gaus,ASL,1866,1869
David Gay,ASL,1864,1867
Alex  Nidda Genthe,ASL,1866,1870
x Georgei,ASL,1863,1866
Paul Gervais,ASL,1863,1871
George Duncan Gibb,ASL,1863,1871
Craig Gibson,ASL,1863,1871
George Stacey Gibson,ASL,1864,1866
Enrico Hillyer Giglioli,ASL,1863,1871
Joseph Gill,ASL,1866,1868
Andrew Gilmour,ASL,1865,1869
x Giraldes,ASL,1863,1871
Spyridon Glaucopides,ASL,1863,1871
J  S  Stuart Glennie,ASL,1864,1867
John Hawley Glover,ASL,1865,1869
Edwin Goadby,ASL,1865,1869
x Gobineau,ASL,1864,1871
William Goddard,ASL,1866,1867
Thomas Godrich,ASL,1868,1869
Augustus Goldsmid,ASL,1865,1871
Thomas Gooch,ASL,1863,1866
William Gooch,ASL,1864,1864
Charles Rowland Goodman,ASL,1867,1871
Arthur Gordon Gordon,ASL,1865,1867
Richard Thomas Gore,ASL,1863,1869
A L  (pere) Gosse,ASL,1863,1869
Hippolyte-Jean Gosse,ASL,1863,1871
Charles Edward Gover,ASL,1867,1869
James Gowans,ASL,1866,1871
Pierre Gratiolet,ASL,1863,1865
John Grattan,ASL,1865,1869
Ryves William Graves,ASL,1867,1871
John Grayling,ASL,1867,1868
Frederick Green,ASL,1865,1868
Frederick King Green,ASL,1869,1871
George Courthope Green,ASL,1867,1871
Sidney Faithhorn Green,ASL,1863,1866
Henry Greenway,ASL,1867,1867
William Greenwell,ASL,1865,1869
Edward Greey,ASL,1867,1868
Alexander Gregg,ASL,1867,1870
Walter Gregor,ASL,1863,1871
J R Gregory,ASL,1863,1867
H G Gridley,ASL,1865,1866
Frederick Griffin,ASL,1865,1870
Lepel Griffin,ASL,1866,1871
Francis Griffiths,ASL,1865,1870
James Oliff Griffits,ASL,1864,1871
Charles Groves,ASL,1863,1866
Joseph Tatton Russell Groves,ASL,1865,1866
John Gunn,ASL,1868,1870
Henry Francis Jeune Guppy,ASL,1863,1867
Samuel Guppy,ASL,1866,1869
Johann Georg Hahn,ASL,1867,1871
Ernst Hallier,ASL,1869,1871
C D Hammond,ASL,1863,1865
William Alexander Hammond,ASL,1868,1871
Henry Fletcher Hance,ASL,1866,1871
H J B Hancock,ASL,1864,1867
James Ronaldson Handyside,ASL,1865,1871
Richard Davis Hanson,ASL,1870,1871
Edward B Harbour,ASL,1865,1865
Clarence Harcourt,ASL,1864,1871
Charles Harding,ASL,1865,1869
William Harding,ASL,1865,1871
William Hardman,ASL,1864,1870
Charles J Harland,ASL,1864,1867
Henry Harland,ASL,1867,1869
C E Harle,ASL,1867,1867
Thomas Harlin,ASL,1864,1867
J A W Harper,ASL,1865,1868
Samuel Harraden,ASL,1865,1871
Arthur B Harris,ASL,1866,1871
James Penn Harris,ASL,1867,1871
William Henry Harrison,ASL,1868,1871
Alfred Edmund Harriss,ASL,1869,1871
Ernest Abraham Hart,ASL,1865,1866
John Harvey,ASL,1865,1869
Frederick Augustus Haserick,ASL,1866,1871
James Hastie,ASL,1865,1867
Richard Haughton,ASL,1864,1867
Samuel Foster Haven,ASL,1867,1871
George Hawkins,ASL,1864,1871
W E Hay,ASL,1864,1867
Thomas Hayle,ASL,1867,1869
William Stephens Hayward,ASL,1870,1870
Edward Charles Healey,ASL,1864,1871
Dunbar Isidore Heath,ASL,1864,1871
G J D Heath,ASL,1869,1871
John Heaton,ASL,1868,1869
Alexander Hector,ASL,1865,1871
W G Helsby,ASL,1863,1868
David Mitchell Henderson,ASL,1870,1871
P Henderson,ASL,1870,1871
Alfred Gutteres Henriques,ASL,1865,1868
M H Henry,ASL,1867,1871
John Mason Hepworth,ASL,1863,1871
Henry A Hertz,ASL,1869,1869
Maximilian Herz,ASL,1865,1871
Matthew Heslop,ASL,1870,1871
T P Heslop,ASL,1865,1867
Jonas B Hewitt,ASL,1868,1869
Alfred Hewlett,ASL,1863,1871
James Higgin,ASL,1863,1871
Alfred Higgins,ASL,1863,1871
x Hildebrand,ASL,1867,1871
Dallas Hill,ASL,1866,1871
George Hill,ASL,1865,1867
L  Doake Hill,ASL,1867,1867
R  Harvey Hilliard,ASL,1870,1871
J Hillier,ASL,1864,1866
x Hincks,ASL,1863,1871
Benjamin Hinde,ASL,1866,1869
George T Hine,ASL,1864,1867
August Hirsch,ASL,1869,1869
Wilhelm His,ASL,1864,1871
W Hitchman,ASL,1865,1866
W G E Hobbs,ASL,1864,1871
F H Hobler,ASL,1865,1866
von Hochstetter,ASL,1863,1871
Thomas Hodge,ASL,1863,1867
Brian Houghton Hodgson,ASL,1863,1871
"x Hoeven, Van der",ASL,1863,1868
Carl Alphonse Hoffman,ASL,1870,1871
Jennings Holgate,ASL,1866,1871
James Holland,ASL,1864,1866
William Holmes,ASL,1865,1869
H  le Hon,ASL,1868,1871
T H Hood,ASL,1865,1867
James Hope,ASL,1870,1871
John Baker Hopkins,ASL,1866,1867
W J S Horton,ASL,1863,1868
Henry Hotze,ASL,1863,1869
x Houghton,ASL,1865,1869
Alfred Robert Houghton,ASL,1867,1871
Edward Price Houghton,ASL,1863,1871
Frederick Hovenden,ASL,1868,1871
C F Howard,ASL,1863,1863
W T Howard,ASL,1865,1871
H W Howarth,ASL,1866,1868
Oswald Bloomfield Howell,ASL,1868,1869
Charles William Hoyland,ASL,1867,1871
F Hudson,ASL,1864,1869
Henry Hudson,ASL,1864,1871
Robinson Hudson,ASL,1866,1867
Richard Hughes,ASL,1865,1866
Hamilton J Hulcee,ASL,1868,1870
Thomas Humble,ASL,1865,1868
Augustus H Hunt,ASL,1864,1869
George S  Lennon Hunt,ASL,1863,1870
James Hunt,ASL,1863,1869
John (1) Hunt,ASL,1863,1867
G A Hutchinson,ASL,1865,1869
Jonathan Hutchinson,ASL,1863,1871
Thomas Henry Huxley,ASL,1863,1871
Josef Hyrtl,ASL,1863,1871
Walter Hyslop,ASL,1865,1866
Joseph Ince,ASL,1867,1869
A Ioannides,ASL,1863,1869
George James Ivey,ASL,1865,1867
Frederick R Izard,ASL,1864,1866
Henry (the father) Jackson,ASL,1863,1866
Henry (the son) Jackson,ASL,1866,1871
Henry Willan Jackson,ASL,1865,1867
Henry William (1) Jackson,ASL,1863,1871
J  Hughlings Jackson,ASL,1863,1864
J W Jackson,ASL,1863,1871
Le Grand Jacob,ASL,1864,1866
George Alexander James,ASL,1867,1868
Horatio Gay James,ASL,1865,1871
William Jardine,ASL,1863,1866
John Jarratt,ASL,1863,1866
Frederick John Jeffery,ASL,1869,1871
William S Jeffery,ASL,1864,1868
Charles Jellicoe,ASL,1864,1867
Newton Edward Jennings,ASL,1865,1866
William Jennings,ASL,1864,1871
Leonard Jenyns LATER Blomefield,ASL,1863,1871
William Jepson,ASL,1867,1871
C Jervise,ASL,1864,1865
Henry Edward Jessop,ASL,1865,1869
Augustus Jessopp,ASL,1864,1866
George Curling Joad,ASL,1865,1871
Arthur Johnson,ASL,1869,1871
Henry Johnson,ASL,1864,1867
Henry James Johnson,ASL,1864,1867
Henry Moreton Johnson,ASL,1865,1867
Richard Johnson,ASL,1864,1868
J C  Hope Johnstone,ASL,1867,1869
C  Treasure Jones,ASL,1864,1869
J  Pryce Jones,ASL,1864,1866
John Jones,ASL,1863,1868
Robert Jones,ASL,1869,1869
W T Jones,ASL,1863,1866
Algernon Joy,ASL,1867,1869
Ernst Juch,ASL,1869,1869
Francisco Delgado Jugo,ASL,1867,1871
x Kalmus,ASL,1867,1871
G Kasimates,ASL,1867,1871
x Kaup,ASL,1863,1871
J W  (2) Kaye,ASL,1868,1871
William Keene,ASL,1865,1867
William Kelly,ASL,1864,1866
William Henry Kemm,ASL,1864,1867
T M Kendall,ASL,1863,1867
Claude Buchanan Ker,ASL,1867,1871
James Kernahan,ASL,1867,1869
W B Kesteven,ASL,1866,1871
Nicolai de Khanikof,ASL,1866,1871
Joshua Edward Killick,ASL,1864,1871
William Kincaid,ASL,1865,1871
Edwin Holborow King,ASL,1869,1871
Richard King,ASL,1866,1871
S W King,ASL,1863,1863
William King,ASL,1864,1871
Charles Kingsley,ASL,1863,1871
W R H Kinlay,ASL,1864,1867
David Kinloch,ASL,1870,1871
Robert Reid Kirkwood,ASL,1867,1869
Samuel Kisch,ASL,1867,1869
de Koninck,ASL,1865,1871
Isidor Kopernicki,ASL,1868,1871
x Koren,ASL,1866,1871
Alfred von Kremer,ASL,1866,1871
William White La Barte,ASL,1863,1870
George Lade,ASL,1867,1868
Samuel Laing,ASL,1864,1871
Thomas Josiah Laing,ASL,1867,1871
Thomas Lampray,ASL,1864,1867
John Lancaster,ASL,1863,1871
T A  Augustus Land,ASL,1864,1867
Edwin Lander,ASL,1866,1867
Vavasour Joseph Lane,ASL,1869,1870
Augustus Henry Lane Fox later Pitt Rivers,ASL,1865,1871
Samuel Lang,ASL,1864,1864
William Lang,ASL,1865,1867
J R Langley,ASL,1864,1865
Edouard Lartet,ASL,1863,1871
William Latta,ASL,1866,1871
John Zachariah Laurence,ASL,1863,1864
Thomas Laurie,ASL,1866,1869
Edward (1) Lawrence,ASL,1864,1867
Frederick Lawrence,ASL,1863,1867
William Lawrence,ASL,1863,1867
J Lawson,ASL,1865,1870
William Lawson,ASL,1865,1869
x Le Bret,ASL,1866,1871
Edwin Lee,ASL,1864,1871
Frederick George Lee,ASL,1865,1867
George Byrne Lee,ASL,1867,1869
John Lee (2),ASL,1865,1866
Richard Lee,ASL,1863,1867
Conrad Leemans,ASL,1868,1871
Samuel Lees,ASL,1863,1871
William Benjamin Leggatt,ASL,1866,1869
Louis Leguay,ASL,1868,1871
Henry Leighton,ASL,1867,1871
x Lelorrain,ASL,1867,1871
Samuel Allen Letts,ASL,1865,1867
Karl Georg Friedrich Rudolf Leuckart,ASL,1863,1871
W  Hanks Levy,ASL,1864,1866
Charles Francis Lewis,ASL,1865,1869
x Library of the Corporation of London,ASL,1866,1866
Charles Linder,ASL,1864,1871
Gustaf Lindstrom,ASL,1864,1871
John Lister,ASL,1863,1867
x Literary and Philosophical Society,ASL,1866,1871
F T Littey,ASL,1867,1867
Robert Liveing,ASL,1865,1865
David Lloyd,ASL,1866,1867
James L Lobley,ASL,1867,1871
William Lockhart,ASL,1863,1871
Joseph Norman Lockyer,ASL,1863,1866
J R Logan,ASL,1866,1869
"Corporation Library London, City of",ASL,1866,1866
William Longman,ASL,1863,1868
Henry Lonsdale,ASL,1863,1871
Edward Lord,ASL,1863,1871
J K Lord,ASL,1866,1867
Basil Lovery,ASL,1868,1871
Mark Anthony Lower,ASL,1866,1871
D Lubach,ASL,1870,1870
Johann Constantin August Lucae,ASL,1863,1871
Thomas Lucas,ASL,1864,1868
William Charles Lucy,ASL,1864,1870
William Collings Lukis,ASL,1864,1871
Edward Lund,ASL,1866,1869
John Alfred Lush,ASL,1869,1871
