"Name","birth_year","death_year","religion_name","ceda_name","person_ceda_first_year","person_ceda_last_year"
Samuel Clark,NA,NA,Quaker,APS,1839,1840
W Clemes,NA,NA,Quaker,APS,1853,1854
C Clothier,NA,NA,Quaker,APS,1860,1860
Joseph Cooper,NA,NA,Quaker,APS,1851,1867
George Crosfield,NA,NA,Quaker,APS,1838,1838
Joseph Crosland,NA,NA,Quaker,APS,1866,1867
A Crowley,NA,NA,Quaker,APS,1855,1863
A Dale,NA,NA,Quaker,APS,1861,1861
Elizabeth S Dawes,NA,NA,Quaker,APS,1867,1867
John Dodshon,NA,NA,Quaker,APS,1860,1867
Daniel Doncaster,NA,NA,Quaker,APS,1866,1867
Elizabeth Dyer,NA,NA,Quaker,APS,1860,1867
R Dymond,NA,NA,Quaker,APS,1862,1862
William Dyson,NA,NA,Quaker,APS,1864,1865
A Ellis,NA,NA,Quaker,APS,1860,1862
Thomas Evans,NA,NA,Quaker,APS,1860,1865
Ann Everett,NA,NA,Quaker,APS,1839,1861
Joseph Farden,NA,NA,Quaker,APS,1851,1866
John Fell,NA,NA,Quaker,APS,1852,1852
Mary Fell,NA,NA,Quaker,APS,1840,1840
S H Fisher,NA,NA,Quaker,APS,1855,1855
Caleb Fletcher,NA,NA,Quaker,APS,1854,1865
Martha Fletcher,NA,NA,Quaker,APS,1854,1855
John Ford,NA,NA,Quaker,APS,1854,1857
George Fox,NA,NA,Quaker,APS,1862,1867
Henry Fox,NA,NA,Quaker,APS,1862,1867
Robert Were Fox,NA,NA,Quaker,APS,1838,1867
Thomas Fox,NA,NA,Quaker,APS,1854,1861
x Fox,NA,NA,Quaker,APS,1861,1861
W Gayner,NA,NA,Quaker,APS,1855,1855
Joseph Gibbens,NA,NA,Quaker,APS,1860,1864
Ann Gibson,NA,NA,Quaker,APS,1860,1865
Francis Gibson,NA,NA,Quaker,APS,1840,1861
F  E Gibson,NA,NA,Quaker,APS,1860,1861
W G Gibson,NA,NA,Quaker,APS,1862,1862
T Gill,NA,NA,Quaker,APS,1861,1862
J Gillett,NA,NA,Quaker,APS,1863,1863
John Gillett,NA,NA,Quaker,APS,1860,1863
J Gilpin,NA,NA,Quaker,APS,1860,1862
James Gingell,NA,NA,Quaker,APS,1860,1862
John Good,NA,NA,Quaker,APS,1861,1867
Josiah Grace,NA,NA,Quaker,APS,1860,1861
Thomas Graham,NA,NA,Quaker,APS,1851,1858
John Green,NA,NA,Quaker,APS,1860,1863
T Gregory,NA,NA,Quaker,APS,1860,1862
G Grimshaw,NA,NA,Quaker,APS,1861,1862
x Hadfield,NA,NA,Quaker,APS,1864,1867
Isaac Hadwen,NA,NA,Quaker,APS,1852,1865
Robert Harding,NA,NA,Quaker,APS,1861,1867
Henry Harris,NA,NA,Quaker,APS,1861,1867
Lydia Harris,NA,NA,Quaker,APS,1840,1862
Thomas Harvey,NA,NA,Quaker,APS,1852,1867
George Head,NA,NA,Quaker,APS,1838,1865
Sarah Head,NA,NA,Quaker,APS,1859,1867
H Headley,NA,NA,Quaker,APS,1860,1860
W Hewitson,NA,NA,Quaker,APS,1860,1860
Charles Hicks,NA,NA,Quaker,APS,1862,1867
Elizabeth Hills,NA,NA,Quaker,APS,1863,1867
James Hills,NA,NA,Quaker,APS,1861,1861
John Hills,NA,NA,Quaker,APS,1853,1864
Gurney Hoare,NA,NA,Quaker,APS,1838,1840
Maria Hooper,NA,NA,Quaker,APS,1860,1862
J Hopkins,NA,NA,Quaker,APS,1839,1860
Rebecca Hopkins,NA,NA,Quaker,APS,1860,1867
Mary Horsnail,NA,NA,Quaker,APS,1851,1857
Elizabeth Howard (2),NA,NA,Quaker,APS,1860,1867
Elizabeth Howard,NA,NA,Quaker,APS,1851,1865
Thomas Hughes,NA,NA,Quaker,APS,1867,1867
Henry Hunt,NA,NA,Quaker,APS,1838,1861
T Hunt,NA,NA,Quaker,APS,1862,1862
J Hurnard,NA,NA,Quaker,APS,1860,1861
John C Isaac,NA,NA,Quaker,APS,1855,1867
John James,NA,NA,Quaker,APS,1860,1860
Charles Janson,NA,NA,Quaker,APS,1861,1866
Samuel Jesper,NA,NA,Quaker,APS,1851,1852
Benjamin Jowett (2),NA,NA,Quaker,APS,1852,1867
John Jun Jowett,NA,NA,Quaker,APS,1851,1851
Robert Jowett (2),NA,NA,Quaker,APS,1852,1862
John King,NA,NA,Quaker,APS,1860,1862
Samuel King,NA,NA,Quaker,APS,1860,1867
Thomas King,NA,NA,Quaker,APS,1838,1840
Alfred Kitching,NA,NA,Quaker,APS,1860,1866
C Knight,NA,NA,Quaker,APS,1839,1839
John Lee,NA,NA,Quaker,APS,1851,1865
x Leitch,NA,NA,Quaker,APS,1847,1849
Thomas Letchmore,NA,NA,Quaker,APS,1860,1860
Thomas x Jun Letchmore,NA,NA,Quaker,APS,1860,1860
Thomas Letchworth,NA,NA,Quaker,APS,1862,1867
Thomas Jun Letchworth,NA,NA,Quaker,APS,1864,1866
Thomas x Jun Letchworth,NA,NA,Quaker,APS,1862,1865
S Lloyd,NA,NA,Quaker,APS,1865,1865
Edward Lucas,NA,NA,Quaker,APS,1852,1867
Rebecca Lucas,NA,NA,Quaker,APS,1851,1867
Thomas Marriage,NA,NA,Quaker,APS,1861,1862
John Marsh,NA,NA,Quaker,APS,1860,1867
R Marsh,NA,NA,Quaker,APS,1860,1861
William Matthews,NA,NA,Quaker,APS,1862,1866
William Mattravers,NA,NA,Quaker,APS,1839,1840
D Miller,NA,NA,Quaker,APS,1853,1859
John Morrison,NA,NA,Quaker,APS,1839,1851
E Neave,NA,NA,Quaker,APS,1861,1861
Mary Overend,NA,NA,Quaker,APS,1851,1855
W J Palmer,NA,NA,Quaker,APS,1862,1866
J Pears,NA,NA,Quaker,APS,1839,1851
Edward Priestman (2),NA,NA,Quaker,APS,1866,1866
John Priestman,NA,NA,Quaker,APS,1852,1862
James Ransome,NA,NA,Quaker,APS,1839,1862
Robert Ransome,NA,NA,Quaker,APS,1839,1865
William Rathbone,NA,NA,Quaker,APS,1839,1867
J Jun Read,NA,NA,Quaker,APS,1839,1840
Edward Richardson,NA,NA,Quaker,APS,1839,1861
Henry Richardson,NA,NA,Quaker,APS,1860,1867
W Richardson,NA,NA,Quaker,APS,1860,1861
R M Rickman,NA,NA,Quaker,APS,1862,1862
S Rickman,NA,NA,Quaker,APS,1838,1838
J Rooke,NA,NA,Quaker,APS,1860,1860
Alfred Rosling,NA,NA,Quaker,APS,1861,1866
John S Rowntree,NA,NA,Quaker,APS,1866,1866
Joseph Rowntree,NA,NA,Quaker,APS,1851,1855
Samuel Rundall,NA,NA,Quaker,APS,1839,1839
Henry Russell,NA,NA,Quaker,APS,1851,1853
Joseph Sams,NA,NA,Quaker,APS,1838,1855
J A Sanders,NA,NA,Quaker,APS,1861,1861
Mary Sansom,NA,NA,Quaker,APS,1855,1855
Micheal Scatterthwaite,NA,NA,Quaker,APS,1861,1861
S Scatterthwaite,NA,NA,Quaker,APS,1861,1862
Benjamin Seebohm,NA,NA,Quaker,APS,1865,1866
William Seebohm,NA,NA,Quaker,APS,1839,1861
Charles Sessions,NA,NA,Quaker,APS,1859,1866
Robert Simpson,NA,NA,Quaker,APS,1860,1867
Alfred Smith,NA,NA,Quaker,APS,1862,1862
Edward Smith,NA,NA,Quaker,APS,1862,1865
Richard Smith,NA,NA,Quaker,APS,1857,1867
Ann Snowden,NA,NA,Quaker,APS,1865,1867
C Southall,NA,NA,Quaker,APS,1861,1861
William Southall,NA,NA,Quaker,APS,1862,1866
William Sparkes,NA,NA,Quaker,APS,1861,1867
Joseph F Spence,NA,NA,Quaker,APS,1854,1867
L Squire,NA,NA,Quaker,APS,1839,1840
Mary Steevens,NA,NA,Quaker,APS,1861,1861
Henry Sterry,NA,NA,Quaker,APS,1851,1867
Richard Sterry,NA,NA,Quaker,APS,1851,1865
John Stevens,NA,NA,Quaker,APS,1839,1840
Joseph Sturge (Mrs),NA,NA,Quaker,APS,1838,1866
Sarah Styles,NA,NA,Quaker,APS,1866,1866
George N Tatham,NA,NA,Quaker,APS,1851,1852
Mary Ann Tatham,NA,NA,Quaker,APS,1851,1867
Edward Taylor,NA,NA,Quaker,APS,1861,1865
F Taylor,NA,NA,Quaker,APS,1861,1861
H Taylor,NA,NA,Quaker,APS,1861,1861
A Thistlethwaite,NA,NA,Quaker,APS,1860,1860
F J Thompson,NA,NA,Quaker,APS,1860,1867
Josiah Thompson,NA,NA,Quaker,APS,1861,1862
Thomas Thompson,NA,NA,Quaker,APS,1862,1862
W Thompson,NA,NA,Quaker,APS,1860,1862
George Treffry,NA,NA,Quaker,APS,1860,1867
Frederick Tuckett,NA,NA,Quaker,APS,1851,1854
W Tuke,NA,NA,Quaker,APS,1860,1860
Thomas Turner,NA,NA,Quaker,APS,1862,1867
James E Veale,NA,NA,Quaker,APS,1851,1867
Jonathan Walker,NA,NA,Quaker,APS,1860,1867
Ann Wallis,NA,NA,Quaker,APS,1851,1867
John Warner,NA,NA,Quaker,APS,1839,1840
Alfred Waterhouse,NA,NA,Quaker,APS,1861,1867
Mary Waterhouse,NA,NA,Quaker,APS,1852,1852
R Waterhouse,NA,NA,Quaker,APS,1861,1862
Thomas Wedmore,NA,NA,Quaker,APS,1861,1864
James Wells,NA,NA,Quaker,APS,1861,1861
Daniel Wheeler,NA,NA,Quaker,APS,1839,1839
W Whiting,NA,NA,Quaker,APS,1861,1861
John Jun Williams,NA,NA,Quaker,APS,1838,1838
W R Williams,NA,NA,Quaker,APS,1860,1860
Charles Wilson,NA,NA,Quaker,APS,1867,1867
George Wilson,NA,NA,Quaker,APS,1861,1867
Isaac Wilson,NA,NA,Quaker,APS,1838,1840
Joseph Wilson,NA,NA,Quaker,APS,1839,1839
Rebecca Wilson,NA,NA,Quaker,APS,1839,1861
H Wise,NA,NA,Quaker,APS,1839,1840
William Woods,NA,NA,Quaker,APS,1865,1865
Louisa Wright,NA,NA,Quaker,APS,1862,1867
James Bowden,NA,NA,Quaker,QCA,1842,1847
William Nash,NA,NA,Quaker,QCA,1842,1847
Joseph Sturge,NA,NA,Quaker,QCA,1842,1847
William Jun Grimshaw,NA,NA,Quaker,QCA,1840,1847
Henry Knight,NA,NA,Quaker,QCA,1840,1847
Henry Knight,NA,NA,Quaker,APS,1852,1858
Edward Paull,NA,NA,Quaker,QCA,1840,1847
Robert Jun Alsop,NA,NA,Quaker,QCA,1837,1847
Abram Rawlinson Barclay,NA,NA,Quaker,QCA,1837,1839
John Barclay,NA,NA,Quaker,QCA,1837,1839
Richard Barrett,NA,NA,Quaker,QCA,1837,1839
John Thomas Barry,NA,NA,Quaker,QCA,1837,1847
John Thomas Barry,NA,NA,Quaker,APS,1852,1853
Peter Bedford,NA,NA,Quaker,QCA,1837,1847
Peter Bedford,NA,NA,Quaker,APS,1860,1860
John Bell,NA,NA,Quaker,QCA,1837,1839
John Bell,NA,NA,Quaker,APS,1838,1840
Thomas Christy,NA,NA,Quaker,QCA,1837,1839
Thomas Christy,NA,NA,Quaker,APS,1839,1840
Samuel Darton,NA,NA,Quaker,QCA,1837,1839
Josiah Forster,NA,NA,Quaker,QCA,1837,1847
Josiah Forster,NA,NA,Quaker,APS,1838,1867
Robert Forster,NA,NA,Quaker,QCA,1837,1847
Robert Forster,NA,NA,Quaker,APS,1860,1867
William Forster,NA,NA,Quaker,QCA,1837,1847
William Forster,NA,NA,Quaker,APS,1838,1840
Joseph Talwin Foster,NA,NA,Quaker,QCA,1837,1847
John Hamilton,NA,NA,Quaker,QCA,1837,1839
Edwd Harris,NA,NA,Quaker,QCA,1837,1847
Geo Holmes,NA,NA,Quaker,QCA,1837,1839
Robert Howard,NA,NA,Quaker,QCA,1837,1839
Robert Howard,NA,NA,Quaker,APS,1838,1840
John Kitching,NA,NA,Quaker,QCA,1837,1839
John Kitching,NA,NA,Quaker,APS,1860,1866
Joseph Neatby,NA,NA,Quaker,QCA,1837,1847
Joseph Neatby,NA,NA,Quaker,APS,1851,1852
John Sanderson,NA,NA,Quaker,QCA,1837,1847
John Sanderson,NA,NA,Quaker,APS,1838,1840
Joseph Shewell,NA,NA,Quaker,QCA,1837,1839
Joseph Shewell,NA,NA,Quaker,APS,1840,1867
George Stacey,NA,NA,Quaker,QCA,1837,1847
 Joseph Storrs,NA,NA,Quaker,QCA,1837,1847
John M Albright,NA,NA,Quaker,APS,1860,1867
G W Alexander,NA,NA,Quaker,APS,1851,1867
Henry Alexander,NA,NA,Quaker,APS,1860,1866
R D Alexander,NA,NA,Quaker,APS,1839,1860
Thomas Allis,NA,NA,Quaker,APS,1856,1867
John D Appleton,NA,NA,Quaker,APS,1864,1867
Caroline Armistead,NA,NA,Quaker,APS,1861,1865
Joseph Armistead,NA,NA,Quaker,APS,1861,1864
Edward Ash,NA,NA,Quaker,APS,1839,1860
Alfred Backhouse,NA,NA,Quaker,APS,1860,1867
Edmund Backhouse,NA,NA,Quaker,APS,1861,1867
Edward Jun Backhouse,NA,NA,Quaker,APS,1851,1855
James Jun Backhouse,NA,NA,Quaker,APS,1863,1867
John Church Backhouse,NA,NA,Quaker,APS,1852,1852
J E Baker,NA,NA,Quaker,APS,1861,1867
James Baker,NA,NA,Quaker,APS,1861,1867
A P Balkwill,NA,NA,Quaker,APS,1862,1862
William Ball,NA,NA,Quaker,APS,1840,1866
Eliza Barclay,NA,NA,Quaker,APS,1851,1866
J Gurney Barclay,NA,NA,Quaker,APS,1852,1852
Jonathan Barrett,NA,NA,Quaker,APS,1860,1861
R Barrett,NA,NA,Quaker,APS,1853,1860
R C Barrow,NA,NA,Quaker,APS,1860,1864
S Barter,NA,NA,Quaker,APS,1861,1862
John D Bassett,NA,NA,Quaker,APS,1851,1867
John Baynes,NA,NA,Quaker,APS,1838,1838
John Beaumont,NA,NA,Quaker,APS,1839,1860
Rebecca Beaumont,NA,NA,Quaker,APS,1860,1866
William Beaumont,NA,NA,Quaker,APS,1860,1867
Samuel Beck,NA,NA,Quaker,APS,1861,1866
Deborah Beesley,NA,NA,Quaker,APS,1860,1867
Paul Bevan,NA,NA,Quaker,APS,1860,1867
Robert Bevan,NA,NA,Quaker,APS,1851,1854
Martha A Binyon,NA,NA,Quaker,APS,1866,1867
Thomas Binyon,NA,NA,Quaker,APS,1851,1860
S Birchall,NA,NA,Quaker,APS,1861,1862
Thomas Blain,NA,NA,Quaker,APS,1865,1867
J Blunsom,NA,NA,Quaker,APS,1861,1865
W Bott,NA,NA,Quaker,APS,1862,1862
Christopher Bowley,NA,NA,Quaker,APS,1838,1862
W C Bowley,NA,NA,Quaker,APS,1860,1862
Edwin Bracher,NA,NA,Quaker,APS,1861,1866
James Bracher,NA,NA,Quaker,APS,1861,1861
Lucy Bradshaw,NA,NA,Quaker,APS,1860,1861
G S Brady,NA,NA,Quaker,APS,1861,1861
Joseph B Braithwaite,NA,NA,Quaker,APS,1866,1867
S Braithwaite,NA,NA,Quaker,APS,1862,1862
Charles Brewin,NA,NA,Quaker,APS,1840,1840
Robert Brewin,NA,NA,Quaker,APS,1860,1867
Thomas Brewin,NA,NA,Quaker,APS,1860,1867
William Brewin,NA,NA,Quaker,APS,1860,1867
Francis Brown,NA,NA,Quaker,APS,1861,1867
Gopsill Brown,NA,NA,Quaker,APS,1860,1860
W W Brown,NA,NA,Quaker,APS,1861,1866
J F Burgess,NA,NA,Quaker,APS,1860,1861
Wilson Burgess,NA,NA,Quaker,APS,1852,1852
Henry Burlingham,NA,NA,Quaker,APS,1861,1867
Jonathan Burtt,NA,NA,Quaker,APS,1847,1867
P Burtt,NA,NA,Quaker,APS,1861,1861
Edward North Buxton,NA,NA,Quaker,APS,1838,1855
James Cadbury,NA,NA,Quaker,APS,1838,1867
John M Candler,NA,NA,Quaker,APS,1839,1867
Edward Carroll,NA,NA,Quaker,APS,1865,1865
Joseph Cash,NA,NA,Quaker,APS,1863,1867
Newman Cash,NA,NA,Quaker,APS,1838,1838
William Cash,NA,NA,Quaker,APS,1839,1840
R D Catchpool,NA,NA,Quaker,APS,1860,1867
Thomas Catchpool,NA,NA,Quaker,APS,1838,1855
Thomas Chalk,NA,NA,Quaker,APS,1839,1840
Elizabeth Charelton,NA,NA,Quaker,APS,1861,1867
James Charleton,NA,NA,Quaker,APS,1839,1839
Robert Charleton,NA,NA,Quaker,APS,1856,1867
Richard Christy,NA,NA,Quaker,APS,1840,1866
Cyrus Clark,NA,NA,Quaker,APS,1861,1861
James Clark (2),NA,NA,Quaker,APS,1860,1866
Joseph Clark,NA,NA,Quaker,APS,1860,1866
W S Clark,NA,NA,Quaker,APS,1861,1866
George Cook,NA,NA,Quaker,APS,1866,1866
J H Cotterell,NA,NA,Quaker,APS,1862,1862
Elliott Cresson,NA,NA,Quaker,APS,1839,1852
W D Crewdson,NA,NA,Quaker,APS,1838,1840
Ann Cropper,NA,NA,Quaker,APS,1861,1867
James Cropper,NA,NA,Quaker,APS,1866,1867
John Cropper,NA,NA,Quaker,APS,1866,1867
Joseph Crosfield,NA,NA,Quaker,APS,1861,1867
William Crosfield,NA,NA,Quaker,APS,1861,1864
Jeremiah Cross,NA,NA,Quaker,APS,1861,1866
Martha Cross,NA,NA,Quaker,APS,1860,1860
Edward A Crouch,NA,NA,Quaker,APS,1857,1860
Abraham Crowley,NA,NA,Quaker,APS,1851,1855
Frederick Crowley,NA,NA,Quaker,APS,1865,1867
J Cudworth,NA,NA,Quaker,APS,1860,1863
Mary Cudworth,NA,NA,Quaker,APS,1861,1867
William Cudworth,NA,NA,Quaker,APS,1861,1867
Lucy Darby,NA,NA,Quaker,APS,1851,1855
Richard Day,NA,NA,Quaker,APS,1851,1851
William Dent,NA,NA,Quaker,APS,1851,1855
Barnard Dickinson,NA,NA,Quaker,APS,1851,1853
Elizabeth G Dimsdale,NA,NA,Quaker,APS,1867,1867
J Doubleday,NA,NA,Quaker,APS,1866,1866
R Doubleday,NA,NA,Quaker,APS,1866,1866
Joseph Eaton,NA,NA,Quaker,APS,1839,1858
Thomas Emmott,NA,NA,Quaker,APS,1866,1867
Mary Exton,NA,NA,Quaker,APS,1852,1860
William Exton,NA,NA,Quaker,APS,1851,1851
Abraham Fisher,NA,NA,Quaker,APS,1859,1865
Rachel Fowler,NA,NA,Quaker,APS,1851,1867
Thomas Fowler,NA,NA,Quaker,APS,1838,1851
Alfred L Fox,NA,NA,Quaker,APS,1867,1867
Francis E Fox,NA,NA,Quaker,APS,1838,1867
Frederick H Fox,NA,NA,Quaker,APS,1862,1867
J G Fox,NA,NA,Quaker,APS,1858,1858
R Barclay Fox,NA,NA,Quaker,APS,1851,1857
Philip Frith,NA,NA,Quaker,APS,1839,1840
Frederick Fryer,NA,NA,Quaker,APS,1861,1867
John Gayner,NA,NA,Quaker,APS,1865,1865
Deborah Gibson,NA,NA,Quaker,APS,1866,1866
E Gilkes,NA,NA,Quaker,APS,1861,1861
Charles Gillett,NA,NA,Quaker,APS,1860,1867
Jonathan Gillett,NA,NA,Quaker,APS,1860,1867
Burwood Godlee,NA,NA,Quaker,APS,1839,1867
Alexander Grace,NA,NA,Quaker,APS,1862,1867
Anna Gurney,NA,NA,Quaker,APS,1851,1857
Edmund Gurney,NA,NA,Quaker,APS,1851,1855
Henry E Gurney,NA,NA,Quaker,APS,1855,1866
John Gurney,NA,NA,Quaker,APS,1839,1855
Samuel Gurney,NA,NA,Quaker,APS,1838,1867
Daniel P Hack,NA,NA,Quaker,APS,1851,1867
John Barton Hack,NA,NA,Quaker,APS,1839,1851
Cornelius Hanbury,NA,NA,Quaker,APS,1838,1867
Cornelius x Jun Hanbury,NA,NA,Quaker,APS,1866,1867
Daniel Bell Hanbury,NA,NA,Quaker,APS,1851,1867
Samuel Hare,NA,NA,Quaker,APS,1861,1866
Charles L Harford,NA,NA,Quaker,APS,1838,1855
John Harford,NA,NA,Quaker,APS,1838,1851
Summers Harford,NA,NA,Quaker,APS,1838,1855
William Hargreaves,NA,NA,Quaker,APS,1860,1867
John Harlock,NA,NA,Quaker,APS,1860,1867
Theodore Harris,NA,NA,Quaker,APS,1862,1867
Gray Hester,NA,NA,Quaker,APS,1861,1867
M A Hewitson,NA,NA,Quaker,APS,1867,1867
Henry Hipsley,NA,NA,Quaker,APS,1862,1867
John Hodgkin,NA,NA,Quaker,APS,1851,1867
J Holdsworth,NA,NA,Quaker,APS,1860,1861
Richard Holdsworth,NA,NA,Quaker,APS,1864,1867
G B Holmes,NA,NA,Quaker,APS,1840,1840
S Horman-Fisher,NA,NA,Quaker,APS,1857,1857
