"Name","birth_year","death_year","religion_name","ceda_name","person_ceda_first_year","person_ceda_last_year"
William Janson,NA,NA,Quaker,APS,1852,1867
Andrew Johnston,NA,NA,Quaker,APS,1838,1866
Andrew & Jun Johnston,NA,NA,Quaker,APS,1861,1862
John Jowett,NA,NA,Quaker,APS,1860,1867
W D King,NA,NA,Quaker,APS,1862,1865
J H Knight,NA,NA,Quaker,APS,1860,1861
T Knott,NA,NA,Quaker,APS,1860,1860
Edward A Leatham,NA,NA,Quaker,APS,1851,1867
Isabella Lister,NA,NA,Quaker,APS,1838,1840
Wilson Lloyd,NA,NA,Quaker,APS,1866,1867
Haggar Lowe,NA,NA,Quaker,APS,1838,1867
Edmund Lucas,NA,NA,Quaker,APS,1851,1864
Frederick Lucas,NA,NA,Quaker,APS,1839,1840
Jeffrey Lucas,NA,NA,Quaker,APS,1840,1854
Martha Lucas,NA,NA,Quaker,APS,1851,1855
Samuel Lucas,NA,NA,Quaker,APS,1851,1867
William Jun Lucas,NA,NA,Quaker,APS,1839,1860
Harford Lury,NA,NA,Quaker,APS,1860,1865
J E Lury,NA,NA,Quaker,APS,1853,1867
W Mann,NA,NA,Quaker,APS,1860,1860
Caroline Marriage,NA,NA,Quaker,APS,1860,1867
Edward Marsh,NA,NA,Quaker,APS,1857,1867
Thomas William Marsh,NA,NA,Quaker,APS,1860,1867
Thomas Maw,NA,NA,Quaker,APS,1839,1840
Edward C May,NA,NA,Quaker,APS,1839,1862
Francis May,NA,NA,Quaker,APS,1860,1865
John Mayfield,NA,NA,Quaker,APS,1847,1867
Josiah Merrick,NA,NA,Quaker,APS,1860,1867
John Morland,NA,NA,Quaker,APS,1839,1867
George L Neighbour,NA,NA,Quaker,APS,1847,1867
Josiah Newman,NA,NA,Quaker,APS,1867,1867
William Norris,NA,NA,Quaker,APS,1860,1867
Thomas Norton,NA,NA,Quaker,APS,1860,1867
William Norton,NA,NA,Quaker,APS,1861,1867
William Nutter,NA,NA,Quaker,APS,1860,1866
J J Packer,NA,NA,Quaker,APS,1861,1862
George Palmer,NA,NA,Quaker,APS,1860,1867
Reuben C Payne,NA,NA,Quaker,APS,1860,1867
Arthur Pease,NA,NA,Quaker,APS,1861,1866
Edward Pease,NA,NA,Quaker,APS,1838,1867
Gurney Pease,NA,NA,Quaker,APS,1865,1866
Henry Fell Pease,NA,NA,Quaker,APS,1851,1867
John Pease,NA,NA,Quaker,APS,1851,1867
John B Pease,NA,NA,Quaker,APS,1852,1867
Joseph Pease,NA,NA,Quaker,APS,1838,1866
Joseph Whitwell Pease,NA,NA,Quaker,APS,1866,1866
Susan Pease,NA,NA,Quaker,APS,1851,1851
Thomas Pease,NA,NA,Quaker,APS,1861,1867
Algernon Peckover,NA,NA,Quaker,APS,1851,1867
William Peckover,NA,NA,Quaker,APS,1866,1867
Robert H Penney,NA,NA,Quaker,APS,1866,1867
Isaac Pitt,NA,NA,Quaker,APS,1860,1867
Jacob Post,NA,NA,Quaker,APS,1839,1851
Joseph T Price,NA,NA,Quaker,APS,1838,1855
Lydia Prideaux,NA,NA,Quaker,APS,1860,1867
Samuel Priestman,NA,NA,Quaker,APS,1860,1865
John Pryor,NA,NA,Quaker,APS,1852,1852
G R Pumphrey,NA,NA,Quaker,APS,1862,1862
W P Read,NA,NA,Quaker,APS,1862,1862
Isaac Reckitt,NA,NA,Quaker,APS,1861,1861
Jonathan Rees,NA,NA,Quaker,APS,1851,1854
Jane Reynolds,NA,NA,Quaker,APS,1838,1855
G E Richardson,NA,NA,Quaker,APS,1860,1860
John Rickman,NA,NA,Quaker,APS,1839,1851
Josephina Rickman,NA,NA,Quaker,APS,1839,1851
Matilda Rickman,NA,NA,Quaker,APS,1851,1851
Priscilla Rickman,NA,NA,Quaker,APS,1840,1840
R Rickman,NA,NA,Quaker,APS,1838,1863
R P Rickman,NA,NA,Quaker,APS,1860,1865
Isaac Robson,NA,NA,Quaker,APS,1862,1867
J S Robson,NA,NA,Quaker,APS,1861,1867
Joseph Rosling,NA,NA,Quaker,APS,1860,1860
Samuel Rosling,NA,NA,Quaker,APS,1866,1867
John Rowntree,NA,NA,Quaker,APS,1855,1867
W Rowntree,NA,NA,Quaker,APS,1860,1860
Sarah Rundell,NA,NA,Quaker,APS,1851,1856
John F Rutter,NA,NA,Quaker,APS,1863,1867
Samuel Rutter,NA,NA,Quaker,APS,1862,1866
E Sayce,NA,NA,Quaker,APS,1860,1860
Hannah Scarr,NA,NA,Quaker,APS,1861,1866
F Seebohm,NA,NA,Quaker,APS,1861,1861
John R Seekings,NA,NA,Quaker,APS,1862,1866
James Sessions,NA,NA,Quaker,APS,1851,1859
Lydia Sessions,NA,NA,Quaker,APS,1865,1865
Robert Sessions,NA,NA,Quaker,APS,1861,1867
Abraham Sewell,NA,NA,Quaker,APS,1860,1866
E F Sewell,NA,NA,Quaker,APS,1860,1860
Joseph Sewell,NA,NA,Quaker,APS,1851,1851
Phillip Sewell,NA,NA,Quaker,APS,1851,1856
Joseph Sharples,NA,NA,Quaker,APS,1838,1867
John T Shewell,NA,NA,Quaker,APS,1852,1866
Thomas Short,NA,NA,Quaker,APS,1861,1867
W Dillwyn Sims,NA,NA,Quaker,APS,1851,1865
W Skinner,NA,NA,Quaker,APS,1861,1861
Bartholomew Smith,NA,NA,Quaker,APS,1861,1867
George Smithson,NA,NA,Quaker,APS,1865,1866
E P Southall,NA,NA,Quaker,APS,1838,1838
Sarah Southall,NA,NA,Quaker,APS,1864,1867
J M Sparkes,NA,NA,Quaker,APS,1861,1866
H Squire,NA,NA,Quaker,APS,1860,1860
John Stansfield,NA,NA,Quaker,APS,1860,1866
Joseph Sterry,NA,NA,Quaker,APS,1851,1867
Sarah Sterry,NA,NA,Quaker,APS,1860,1861
J L Stevens,NA,NA,Quaker,APS,1860,1865
Charles Sturge,NA,NA,Quaker,APS,1860,1862
Edmund Sturge,NA,NA,Quaker,APS,1860,1862
George Sturge,NA,NA,Quaker,APS,1867,1867
H J Sturge,NA,NA,Quaker,APS,1865,1867
Samuel Sturge,NA,NA,Quaker,APS,1851,1855
Thomas M Sturge,NA,NA,Quaker,APS,1838,1866
Walter Sturge,NA,NA,Quaker,APS,1860,1867
Jemima Swan,NA,NA,Quaker,APS,1862,1867
William Tanner,NA,NA,Quaker,APS,1860,1865
W Tatum,NA,NA,Quaker,APS,1860,1862
Edward Thomas,NA,NA,Quaker,APS,1851,1854
George Thomas,NA,NA,Quaker,APS,1851,1867
Samuel Thompson,NA,NA,Quaker,APS,1839,1840
Fielden Thorpe,NA,NA,Quaker,APS,1862,1867
E O Tindale,NA,NA,Quaker,APS,1860,1860
Robert Tindall,NA,NA,Quaker,APS,1839,1839
Joshua Treffry,NA,NA,Quaker,APS,1860,1867
Nathaniel Tregellis,NA,NA,Quaker,APS,1859,1867
Elizabeth Tuckett,NA,NA,Quaker,APS,1840,1840
Francis Tuckett,NA,NA,Quaker,APS,1840,1854
P Debell Tuckett,NA,NA,Quaker,APS,1839,1866
D Tuke,NA,NA,Quaker,APS,1861,1862
J H Tuke,NA,NA,Quaker,APS,1862,1862
Samuel Tuke,NA,NA,Quaker,APS,1840,1860
Ann Tweedy,NA,NA,Quaker,APS,1861,1867
R Tweedy,NA,NA,Quaker,APS,1860,1860
William Tweedy,NA,NA,Quaker,APS,1838,1854
Richard Veale,NA,NA,Quaker,APS,1852,1867
William Veale,NA,NA,Quaker,APS,1864,1864
John Wadge,NA,NA,Quaker,APS,1838,1838
F J Walker,NA,NA,Quaker,APS,1860,1860
Marriage Wallis,NA,NA,Quaker,APS,1861,1866
Charles B Warner,NA,NA,Quaker,APS,1851,1851
Septimus Warner,NA,NA,Quaker,APS,1862,1862
Lucy Westcombe,NA,NA,Quaker,APS,1865,1867
Thomas Westcombe,NA,NA,Quaker,APS,1860,1867
Benjamin Wheeler,NA,NA,Quaker,APS,1851,1856
Frederick Wheeler,NA,NA,Quaker,APS,1851,1867
Samuel Wheeler,NA,NA,Quaker,APS,1852,1854
John Whiting,NA,NA,Quaker,APS,1862,1867
John Wiblin,NA,NA,Quaker,APS,1861,1867
Caleb Williams,NA,NA,Quaker,APS,1854,1867
John E Wilson,NA,NA,Quaker,APS,1860,1867
Joshua Wilson,NA,NA,Quaker,APS,1860,1860
F Woodhead,NA,NA,Quaker,APS,1861,1862
W Woolston,NA,NA,Quaker,APS,1861,1861
Francis Wright,NA,NA,Quaker,APS,1838,1838
S W Wright,NA,NA,Quaker,APS,1861,1861
